Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Login-Repo/Password_inputText""), Invalid_password)",Chrome 112.0.0.0,,,2023-04-07 03:29:52,2023-04-07 03:29:52,0.637s,PASSED
"click(findTestObject(""Login-Repo/RememberMe_check_button""))",Chrome 112.0.0.0,,,2023-04-07 03:29:52,2023-04-07 03:29:52,0.335s,PASSED
"click(findTestObject(""Login-Repo/Login_button(loginpage)""))",Chrome 112.0.0.0,,,2023-04-07 03:29:52,2023-04-07 03:29:53,0.333s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-04-07 03:29:53,2023-04-07 03:29:55,2.010s,PASSED
"verifyElementText(findTestObject(""Login-Repo/Assert-verify-element/assert-error_incorrect-username-or-password""), ""Incorrect username or password."")",Chrome 112.0.0.0,,,2023-04-07 03:29:55,2023-04-07 03:29:55,0.405s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-07 03:29:55,2023-04-07 03:29:56,0.660s,PASSED
Video,Chrome 112.0.0.0,,,2023-04-07 03:29:58,2023-04-07 03:29:58,0.000s,PASSED
,,,,,,,
Test Cases/LOGIN/Login with email/LOG-10,Chrome 112.0.0.0,"""Input email atau username kemudian
hapus akan muncul notif error""",,2023-04-07 03:29:58,2023-04-07 03:30:13,14.838s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 112.0.0.0,,,2023-04-07 03:29:58,2023-04-07 03:29:58,0.002s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-07 03:29:58,2023-04-07 03:29:59,1.136s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-07 03:29:59,2023-04-07 03:29:59,0.126s,PASSED
navigateToUrl(website),Chrome 112.0.0.0,,,2023-04-07 03:29:59,2023-04-07 03:30:02,2.277s,PASSED
"click(findTestObject(""Login-Repo/Login_button(homepage)""))",Chrome 112.0.0.0,,,2023-04-07 03:30:02,2023-04-07 03:30:04,1.886s,PASSED
"setText(findTestObject(""Login-Repo/Email_inputText""), Valid_email)",Chrome 112.0.0.0,,,2023-04-07 03:30:04,2023-04-07 03:30:07,3.610s,PASSED
"sendKeys(findTestObject(""Login-Repo/Email_inputText""), Keys.chord(CONTROL, ""a""))",Chrome 112.0.0.0,,,2023-04-07 03:30:07,2023-04-07 03:30:07,0.328s,PASSED
"sendKeys(findTestObject(""Login-Repo/Email_inputText""), Keys.chord(BACK_SPACE))",Chrome 112.0.0.0,,,2023-04-07 03:30:07,2023-04-07 03:30:08,0.343s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-04-07 03:30:08,2023-04-07 03:30:10,2.005s,PASSED
"verifyElementText(findTestObject(""Login-Repo/Assert-verify-element/Assert_username_error""), ""Please enter your Spotify username or email address."")",Chrome 112.0.0.0,,,2023-04-07 03:30:10,2023-04-07 03:30:10,0.296s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-07 03:30:10,2023-04-07 03:30:11,0.647s,PASSED
Video,Chrome 112.0.0.0,,,2023-04-07 03:30:13,2023-04-07 03:30:13,0.000s,PASSED
,,,,,,,
Test Cases/LOGIN/Login with email/LOG-11,Chrome 112.0.0.0,"""Input email atau username kemudian
hapus akan muncul notif error""",,2023-04-07 03:30:13,2023-04-07 03:30:28,15.113s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 112.0.0.0,,,2023-04-07 03:30:13,2023-04-07 03:30:13,0.001s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-07 03:30:13,2023-04-07 03:30:14,1.145s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-07 03:30:14,2023-04-07 03:30:14,0.140s,PASSED
navigateToUrl(website),Chrome 112.0.0.0,,,2023-04-07 03:30:14,2023-04-07 03:30:16,2.209s,PASSED
"click(findTestObject(""Login-Repo/Login_button(homepage)""))",Chrome 112.0.0.0,,,2023-04-07 03:30:16,2023-04-07 03:30:19,2.546s,PASSED
"setText(findTestObject(""Login-Repo/Password_inputText""), Valid_password)",Chrome 112.0.0.0,,,2023-04-07 03:30:19,2023-04-07 03:30:22,3.289s,PASSED
"sendKeys(findTestObject(""Login-Repo/Password_inputText""), Keys.chord(CONTROL, ""a""))",Chrome 112.0.0.0,,,2023-04-07 03:30:22,2023-04-07 03:30:23,0.321s,PASSED
"sendKeys(findTestObject(""Login-Repo/Password_inputText""), Keys.chord(BACK_SPACE))",Chrome 112.0.0.0,,,2023-04-07 03:30:23,2023-04-07 03:30:23,0.316s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-04-07 03:30:23,2023-04-07 03:30:25,2.014s,PASSED
"verifyElementText(findTestObject(""Login-Repo/Assert-verify-element/Assert_password_error""), ""Please enter your password."")",Chrome 112.0.0.0,,,2023-04-07 03:30:25,2023-04-07 03:30:25,0.314s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-07 03:30:25,2023-04-07 03:30:26,0.642s,PASSED
Video,Chrome 112.0.0.0,,,2023-04-07 03:30:28,2023-04-07 03:30:28,0.000s,PASSED
